paper_id,author_id,affiliation
1099635,81100499520,"University Pierre and Marie Curie, Paris, France"
1099635,81100163011,"Queen Mary, University of London, London, United Kingdom"
1099635,81309497569,"University Pierre and Marie Curie, Paris, France"
1099635,81100072366,"Queen Mary, University of London, London, United Kingdom"
1099635,81100169573,"University Pierre and Marie Curie, Paris, France"
502697,81100506308,"IBM Research Division, San Jose CA"
502697,81100307413,"The University of Arizona, Tucson, AZ"
502697,81100408391,"IBM Research Division, San Jose CA"
2398572,81384591232,"National University of Singapore, Singapore, Singapore"
2398572,81100547902,"National University of Singapore, Singapore, Singapore"
584824,81100313531,"IBM T. J. Watson Research Center, Hawthorne, NY"
584824,81100161185,"Pohang University of Science and Technology, Pohang, Korea"
584824,81100237772,"IBM Almaden Research Center, San Jose, CA"
956913,81100404769,"IBM Haifa Research Lab, Mount Carmel, Haifa, Israel"
956913,81100535871,"IBM Haifa Research Lab, Mount Carmel, Haifa, Israel"
956913,81100054223,"IBM Almaden Research Center"
956913,81100081707,"IBM Haifa Research Lab, Mount Carmel, Haifa, Israel"
956913,81100342557,"IBM Haifa Research Lab, Mount Carmel, Haifa, Israel"
354816,81100404769,"Division of Information and Communication Sciences, Macquarie University, NSW 2109, Australia"
354816,81100495902,"CSIRO Mathematical & Information Sciences, Locked bag 17, North-Ryde, NSW 1670, Australia"
2063868,81466647927,"University of L'Aquila, L'Aquila, Italy"
2063868,81100501777,"Fondazione Ugo Bordoni, Rome, Italy"
2063868,81100509838,"Tor Vergata University, Rome, Italy"
2063870,81466647927,"University of L'Aquila, L'Aquila, Italy"
2063870,81100367648,"Yahoo! Research, Barcelona, Spain"
2063870,81100150852,"Yahoo! Research, Barcelona, Spain"
2398427,81100329672,"Drexel University College of Information Science and Technology, Philadelphia, PA, USA"
2398427,81100254535,"Drexel University College of Information Science and Technology, Philadelphia, PA, USA"
2398427,81548442756,"Drexel University College of Information Science and Technology, Philadelphia, PA, USA"
1646148,81100329796,"York University, Toronto, ON, Canada"
1646148,81318496772,"York University, Toronto, ON, Canada"
1646148,81453639494,"York University, Toronto, ON, Canada"
1646148,81100080207,"York University, Toronto, ON, Canada"
1871515,81100039769,"Sapienza University of Rome, Rome, Italy"
1871515,81100259139,"Sapienza University of Rome, Rome, Italy"
1871515,81100469839,"Yahoo! Research, Barcelona, Spain"
1871515,81100631289,"Yahoo! Research, Barcelona, Spain"
1871515,81330494272,"Sapienza University of Rome, Rome, Italy"
1321488,81100039769,"Yahoo Research, Santa Clara, CA"
1321488,81452610079,"Yahoo Research, Santa Clara, CA"
1321488,81100099117,"Yahoo Research, Santa Clara, CA"
1321488,81100209419,"Yahoo Research, Santa Clara, CA"
1321488,81335496813,"Yahoo Research, Santa Clara, CA"
1183648,81100039769,"Yahoo! Research, Sunnyvale, CA"
1183648,81452610079,"Yahoo! Research, Sunnyvale, CA"
1183648,81502813002,"University of Texas at Austin, Austin, TX"
1316881,81340487599,"Iran University of Science and Technology, Tehran, Iran"
1316881,81340488194,"Iran University of Science and Technology, Tehran, Iran"
1316881,81331502456,"Iran University of Science and Technology, Tehran, Iran"
1871528,81435596094,"Max-Planck Institute for Informatics, Saarbrücken, Germany"
1871528,81320487534,"Max-Planck Institute for Informatics, Saarbrücken, Germany"
1871528,81314481231,"Max-Planck Institute for Informatics, Saarbrücken, Germany"
1871528,81100110904,"Saarland University, Saarbrücken, Germany"
221321,81100232025,"School of Information and Software Engineering, Faculty of Informatics, University of Ulster (Jordanstown), Northern Ireland"
221321,81406600041,"School of Information and Software Engineering, Faculty of Informatics, University of Ulster (Jordanstown), Northern Ireland"
221321,81100166277,"School of Information and Software Engineering, Faculty of Informatics, University of Ulster (Jordanstown), Northern Ireland"
2661928,81435596094,"L3S Research Center, Hannover, Germany"
2661928,81479641040,"Max Planck Institute for Informatics, Saarbrücken, Germany"
2661928,81320487534,"IIIT-Delhi, New Delhi, India"
2661928,81314481231,"Max Planck Institute for Informatics, Saarbrücken, Germany"
2064041,81100631858,"University of Manchester, Manchester, United Kingdom"
2064041,81384594768,"KAIST, Deajeon, South Korea"
2064041,81350596627,"Georgia Institute of Technology, Atlanta, GA, USA"
2064041,81336493029,"NJIT, Newark, USA"
1646267,81447598064,"Yahoo! Inc, Santa Clara, CA, USA"
1646267,81316489061,"Yahoo! Inc., Santa Clara, CA, USA"
1646267,81447603672,"Yahoo! Inc., Santa Clara, CA, USA"
1646267,81339523170,"Yahoo! Inc, Santa Clara, CA, USA"
2063662,81447600071,"Texas State Univerity-San Marcos, San Marcos, TX, USA"
2063662,81317488474,"Texas State Univerity-San Marcos, San Marcos, TX, USA"
2063662,81100405246,"Lawrence Livermore National Laboratory, Livermore, CA, USA"
2661991,81496689896,"Rensselaer Polytechnic Institute, Troy, NY, USA"
2661991,81502802104,"Coursera Inc, Mountain View, CA, USA"
2661991,81548006186,"LinkedIn Corporation, Mountain View, CA, USA"
1458301,81100571503,"INRIA Rocquencourt, Le Chesnay, France"
1458301,81100097676,"INRIA Rocquencourt, Le Chesnay, France"
1458301,81418592529,"University of Twente, Enschede, Netherlands"
1458301,81100584974,"INRIA Rocquencourt, Le Chesnay, and University of Versailles, Versailles, France"
1458301,81100253527,"University of Twente, Enschede, Netherlands"
2063954,81438598027,"Bauhaus-Universität Weimar, Weimar, Germany"
2063954,81339530150,"Bauhaus-Universität Weimar, Weimar, Germany"
2063954,81375620988,"Bauhaus-Universität Weimar, Weimar, Germany"
170122,81406593339,"Computer Science and Engineering Department, University of Connecticut, 260 Glenbrook Road, Storrs, Connecticut"
2507884,82459085457,"Northeastern University, Boston, Massachusetts, USA"
2507884,82459003657,"Northeastern University, Boston, Massachusetts, USA"
2507884,81418597119,"Northeastern University, Boston, Massachusetts, USA"
2507884,81100398599,"Northeastern University, Boston, Massachusetts, USA"
